geo,country,year,house_price_index,inflation,earning,price_to_income_ratio,real_hpi,price_to_real_income_ratio,hpi_growth,income_growth,region
BE,Belgium,2013,98.9,1.27150259067358,26609.37,0.0,97.65827253471404,1.01,1.17647058823529,1.2243837472624808,West Europe
BG,Bulgaria,2013,95.92,-0.668561264337262,3798.06,0.03,96.56560019759591,0.99,-2.192311614153153,5.547110561491753,East Europe
DE,Germany,2013,92.6,1.96474670955182,27171.02,0.0,90.8157014931568,1.02,3.1180400890868487,1.6513515717769378,West Europe
EE,Estonia,2013,82.29,4.04319383069059,9445.7,0.01,79.09215102903364,1.04,10.649455425574828,7.183423828246904,
ES,Spain,2013,96.24,0.399871074313577,20061.89,0.0,95.85669679671744,1.0,-9.121813031161485,0.43469206100006375,South Europe
FI,Finland,2013,100.35,2.55896963341912,29654.15,0.0,97.84614681552014,1.03,1.1490777139401276,1.3923859332880317,North Europe
FR,France,2013,102.93,0.777425272909715,26269.14,0.0,102.13596916299561,1.01,-1.85926773455376,1.1171365091389607,West Europe
HU,Hungary,2013,84.87,2.82548415734155,6475.08,0.01,82.53790458222748,1.03,-2.5602755453501658,1.6620559503361498,East Europe
IE,Ireland,2013,76.99,0.891672889800389,31531.28,0.0,76.30956826743555,1.01,1.2493424513413842,-0.033130712868323364,
IS,Iceland,2013,85.21,2.12389180897381,29098.7,0.0,83.437869915287,1.02,5.75896735757726,7.142528389435943,North Europe
IT,Italy,2013,109.1,1.14767271753241,20656.6,0.01,107.8620961499287,1.01,-6.512425021422463,1.618089226119257,South Europe
LT,Lithuania,2013,90.65,1.2804398254596,5954.89,0.02,89.50395570578146,1.01,1.2170611880303772,5.6631527770138135,
LU,Luxembourg,2013,90.89,1.69564084428396,37792.02,0.0,89.37452898219156,1.02,4.978054978054991,1.1716978535827538,
LV,Latvia,2013,97.62,1.63774796705858,5776.88,0.02,96.04699233560277,1.02,6.852014010507879,5.751949138424983,
MT,Malta,2013,92.16,2.27617130776592,16306.0,0.01,90.10896557974908,1.02,-0.4106332396801471,1.9128184775577317,
NL,Netherlands,2013,95.75,1.2758991149537,32992.17,0.0,94.54371754460408,1.01,-5.998429216571766,3.9689645164248555,West Europe
NO,Norway,2013,91.24,2.55497953615279,47595.99,0.0,88.96691356448078,1.03,4.298125285779597,-0.39154026906595973,North Europe
PL,Poland,2013,97.54,0.294201482205393,7466.23,0.01,97.25387765045015,1.0,-4.381923340848937,3.188860479579847,East Europe
PT,Portugal,2013,93.09,2.24924401893424,11729.3,0.01,91.04223790912512,1.02,-1.8762517128702472,-4.274133457819762,South Europe
SE,Sweden,2013,80.79,0.927111436279673,34473.44,0.0,80.04786706989704,1.01,5.154236626317865,2.9875047126944443,North Europe
SI,Slovenia,2013,106.21,1.60060675308302,11824.18,0.01,104.53677728334738,1.02,-5.245784637344997,0.9968848948577413,
AT,Austria,2014,95.33,2.17625354085441,27965.34,0.0,93.29956491493694,1.02,3.507057546145509,1.6162473556114776,West Europe
